gene_symbol,n_snps,gene_prs,avg_beta,avg_freq,gene_pct
CFDP1,1,0.05368452939787402,0.0518999998045929,0.517192,0.45
NELFE,1,0.05365720084326663,0.0411000000331411,0.652764,0.45
PDGFDDN,1,0.053613415265558954,0.0738999998146883,0.362743,0.45
ATP1B1,1,0.051782072255447426,0.0361999996193122,0.715222,0.44
GIPR,1,0.04904263789684188,0.0459289318883997,0.5338970000000001,0.41
PARP12,1,0.04891177650457814,0.0337999995194356,0.7235469999999999,0.41
PRIM2,2,0.04876013916940561,0.06020000005267839,0.31503135,0.41
GGCX,1,0.04843628586711602,0.0667236320429081,0.362962,0.41
MAD1L1,1,0.048159647366480034,0.0359999995264351,0.668884,0.41
TEX41,1,0.04809583361704879,0.0368000000130447,0.653476,0.4
AGT,1,0.04635417539023026,0.0359999995264351,0.643808,0.39
INTERGENIC_chr7,1,0.046111737444198185,0.0751999997459151,0.306594,0.39
LRP1,1,0.04574307402019722,0.0582689081239758,0.392517,0.39
SWAP70,1,0.045334747162624485,0.048790164169432,0.464589,0.38
HNF1A,1,0.04502020844434348,0.0517999995907836,0.434558,0.38
FNDC3B,1,0.044747279135649035,0.0357999999485161,0.624962,0.38
EDNRA,1,0.0419594582069641,0.0810000003995307,0.259009,0.35
PECAM1,1,0.040819349711206196,0.0329999997665275,0.618475,0.34
TMEM106B,1,0.040463242097414635,0.0327000004019811,0.618704,0.34
FN1,1,0.038561270735173424,0.0434999997012558,0.443233,0.32
LINC02542,1,0.037265133720213214,0.0319000002741115,0.584093,0.31
HTRA1,1,0.036519667977076974,0.0331999999791607,0.549995,0.31
CORO6,1,0.03630105310163036,0.0395000001105863,0.459507,0.31
FHL3,1,0.03461823814757835,0.0412999999374603,0.419107,0.29
ZFPM2,1,0.03244536267879771,0.0319000002741115,0.508548,0.27
SLC22A3,1,0.031400728988779665,0.0512932944375505,0.30609,0.26
TRIM5,1,0.03134568806460659,0.078200000161178,0.20042,0.26
ZPR1,1,0.030109139828572853,0.0704999995986065,0.2135399999999999,0.25
ARHGAP42,1,0.0298077056105661,0.0368000000130447,0.404996,0.25
ARHGAP26,1,0.029513222098217187,0.0430000001430999,0.343177,0.25
DDX59-AS1,1,0.02892346882195719,0.0284000000215598,0.509216,0.24
ZEB2,1,0.028490887809578865,0.0504999996624792,0.282088,0.24
LAP3P2,1,0.02794556759100773,0.0279999995902111,0.499028,0.24
PLCG2,1,0.027806782875042943,0.0367000003630077,0.378839,0.23
UNC5C,1,0.02753245385580873,0.0386000003586392,0.356638,0.23
NOA1,1,0.027163142564181664,0.0563803334361076,0.240892,0.23
INTERGENIC_chr8,1,0.02710678123305509,0.0330999995519248,0.409468,0.23
CFTR,1,0.02693237382145473,0.0282999996022322,0.475837,0.23
PALLD,1,0.026874567739667312,0.0311000003930725,0.432067,0.23
DHX58,1,0.026335825782872885,0.0542999999646868,0.242503,0.22
SHROOM3,1,0.026274729871335535,0.0336000003469826,0.390993,0.22
ZHX3,1,0.026237978265738995,0.0371999998096458,0.352661,0.22
FLT1,1,0.025852687336418358,0.040400000213181,0.319959,0.22
PRKCE,1,0.02547522318400946,0.0331999999791607,0.383663,0.21
ATP2B1,1,0.02540785964276432,0.0295588022415444,0.429785,0.21
NCOA6,1,0.02504640804389313,0.0337999995194356,0.370509,0.21
APOC1,1,0.024586346100806393,0.0898407039997895,0.136833,0.21
CUX2,1,0.0245692764231717,0.0295588022415444,0.4155999999999999,0.21
STN1,1,0.024548413501773645,0.0327000004019811,0.375358,0.21
UMPS,1,0.023675643502400277,0.0678999997200912,0.174342,0.2
TCF21,1,0.023267222277945445,0.0760346862759975,0.153004,0.2
ABO,1,0.022834152742361762,0.0733999998147229,0.1555459999999999,0.19
FAM242C,1,0.022703283289832336,0.0832000003292057,0.136438,0.19
ARID4A,1,0.021890445892321038,0.0282999996022322,0.386757,0.18
DAB2IP,1,0.02135161692566131,0.0354999998764017,0.300727,0.18
MRPS6,1,0.019614918779043634,0.0676586484738148,0.1449549999999999,0.17
MIR670HG,1,0.01914407782574641,0.0314000003702679,0.304842,0.16
MRAS,1,0.019042754986558115,0.1133286853070032,0.0840156,0.16
SLC22A4,1,0.018828796920200685,0.0488000003115331,0.192918,0.16
LMOD1,1,0.017200407958685816,0.0358999999137707,0.23956,0.14
HGFAC,1,0.016992903343632498,0.0682999997734407,0.124399,0.14
MORN1,1,0.01583015696161528,0.0468999998862776,0.168765,0.13
ZNF652,1,0.014881618709376291,0.0533999996748132,0.139341,0.13
FCHO1,1,0.014306006388168136,0.0592999999509556,0.120624,0.12
SCARB1,1,0.013244754940626696,0.065499999706378,0.101105,0.11
ZNF831,1,0.01266903669991549,0.0517999995907836,0.122288,0.11
BCAP29,1,0.011368163880268619,0.0344999996366403,0.164756,0.1
CCDC97,1,0.011103147962403154,0.06999999976297,0.0793082,0.09
C5orf67,1,0.011018942506172507,0.0366000003526576,0.150532,0.09
ZNF335,1,0.01036137280352575,0.0424000000144278,0.122186,0.09
SH2B3,1,0.010235593149421959,0.0741999996333491,0.0689729999999999,0.09
BCAS3,1,0.008063433095721946,0.0751074724868054,0.0536793,0.07
CIMAP1A,1,0.0073326239035424075,0.0359999995264351,0.101842,0.06
NAA25,1,0.007316407256989149,0.0582689081239758,0.0627814,0.06
ILRUN,1,0.007284790778967531,0.0609999998238823,0.0597114,0.06
ABCA1,1,0.005592304726435576,0.0359999995264351,0.0776709,0.05
PRDM16,1,0.005307810755550704,0.0514000003442674,0.0516324,0.04
CARF,1,0.0051528420568136115,0.1222176327242491,0.0210806,0.04
BMP1,1,0.0039017998727873962,0.0957999998229106,0.0203643,0.03
GOSR2,1,0.0024525041740532053,0.0468999998862776,0.0261461,0.02
CD109,1,0.0019347140017297521,0.0460000000411268,0.0210295,0.02
